timestamp,s1-eth1,s1-eth3,s3-eth2,s13-eth2,s7-eth1,s7-eth2,s5-eth1,s6-eth2,s6-eth3,s6-eth4,s6-eth5,s8-eth4,s8-eth5,s8-eth6,s9-eth3,s11-eth4,s2-eth3,s4-eth5,s4-eth6,s4-eth7,s11-eth5,s12-eth3
2025-07-20 16:13:59,0.0004,0.0000,0.0004,0.0004,0.0004,0.0004,7.2338,0.0004,3.0973,7.2338,0.0004,0.0004,0.0004,0.0007,0.0004,0.0004,0.0004,0.0000,0.0000,0.0000,0.0004,3.0973
2025-07-20 16:14:00,0.0004,0.0010,0.0004,0.0000,0.0004,0.0004,7.2217,0.0004,3.0970,7.2217,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,3.0970
2025-07-20 16:14:01,0.0004,0.0004,0.0000,0.0004,0.0004,0.0004,7.2338,0.0004,3.0970,7.2338,0.0004,0.0000,0.0004,0.0000,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,3.1091
2025-07-20 16:14:02,0.0000,0.0004,0.0004,0.0004,0.0004,0.0004,7.2338,0.0004,3.1091,7.2338,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,3.1091
2025-07-20 16:14:03,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,7.2096,0.0004,3.0970,7.2096,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0000,0.0004,0.0004,0.0004,0.0004,3.0728
2025-07-20 16:14:04,0.0004,0.0000,0.0004,0.0004,0.0004,0.0004,7.2338,0.0004,3.0970,7.2338,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,3.0970
2025-07-20 16:14:05,0.0004,0.0004,0.0004,0.0000,0.0000,0.0004,7.2338,0.0004,3.0970,7.2338,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0000,0.0000,0.0000,0.0004,3.0849
2025-07-20 16:14:06,0.0004,0.0004,0.0000,0.0004,0.0004,0.0004,7.2701,0.0004,3.0970,7.2701,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,3.1333
2025-07-20 16:14:07,0.0000,0.0004,0.0004,0.0004,0.0004,0.0004,7.2213,0.0004,3.1091,7.2217,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,3.0970
2025-07-20 16:14:08,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,7.2338,0.0004,3.0970,7.2338,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,3.0970
2025-07-20 16:14:09,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,7.2338,0.0004,3.1087,7.2338,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0000,0.0004,0.0004,0.0004,0.0004,3.1091
2025-07-20 16:14:10,0.0004,0.0000,0.0004,0.0004,0.0004,0.0004,7.2338,0.0004,3.0849,7.2334,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0000,0.0000,0.0004,0.0004,3.0970
2025-07-20 16:14:11,0.0004,0.0004,0.0004,0.0000,0.0004,0.0004,7.2217,0.0004,3.1096,7.2217,0.0000,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0000,0.0004,3.1091
2025-07-20 16:14:12,0.0004,0.0004,0.0000,0.0004,0.0004,0.0004,7.2338,0.0004,3.0970,7.2338,0.0004,0.0004,0.0000,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,3.0970
2025-07-20 16:14:13,0.0000,0.0004,0.0004,0.0004,0.0004,0.0004,7.2459,0.0004,3.0970,7.2459,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,3.0849
2025-07-20 16:14:14,0.0004,0.0004,0.0004,0.0004,0.0004,0.0000,7.2338,0.0004,3.1091,7.2342,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,3.1091
2025-07-20 16:14:15,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,7.2096,0.0000,3.0970,7.2096,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0000,0.0004,0.0004,0.0004,0.0004,3.1091
2025-07-20 16:14:17,0.0004,0.0000,0.0004,0.0004,0.0004,0.0004,7.2459,0.0004,3.0970,7.2459,0.0004,0.0004,0.0004,0.0004,0.0004,0.0000,0.0004,0.0000,0.0000,0.0000,0.0004,3.0970
2025-07-20 16:14:18,0.0004,0.0004,0.0004,0.0000,0.0004,0.0004,7.2459,0.0004,3.0970,7.2459,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,3.0970
2025-07-20 16:14:19,0.0004,0.0004,0.0000,0.0004,0.0004,0.0004,7.2338,0.0004,3.1091,7.2338,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,3.0849
2025-07-20 16:14:20,0.0000,0.0004,0.0004,0.0004,0.0004,0.0004,7.2217,0.0004,3.0970,7.2217,0.0004,0.0004,0.0004,0.0000,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,3.1091
2025-07-20 16:14:21,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,7.2459,0.0004,3.1094,7.2459,0.0004,0.0000,0.0004,0.0007,0.0004,0.0004,0.0000,0.0004,0.0004,0.0004,0.0004,3.0973
2025-07-20 16:14:22,0.0004,0.0000,0.0004,0.0004,0.0004,0.0004,7.2459,0.0004,3.1091,7.2459,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0000,0.0004,0.0004,0.0000,3.1212
2025-07-20 16:14:23,0.0004,0.0004,0.0004,0.0000,0.0004,0.0004,7.2580,0.0004,3.0970,7.2580,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0007,0.0000,0.0000,0.0004,3.1091
2025-07-20 16:14:24,0.0004,0.0004,0.0004,0.0004,0.0000,0.0004,7.2338,0.0004,3.1091,7.2338,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,3.0849
